Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Keys:       16 bytes each (+ 0 bytes user-defined timestamp)
Values:     100 bytes each (50 bytes after compression)
Entries:    500000000
Prefix:    0 bytes
Keys per prefix:    0
RawSize:    55313.1 MB (estimated)
FileSize:   31471.3 MB (estimated)
Write rate: 0 bytes/second
Read rate: 0 ops/second
Compression: Snappy
Compression sampling rate: 0
Memtablerep: skip_list
Perf Level: 1
WARNING: Assertions are enabled; benchmarks unnecessarily slow
------------------------------------------------
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
DB path: [../sk_mnt/]
fillrandom   :       5.705 micros/op 175295 ops/sec;   19.4 MB/s
Latecny 0.00 = 2.000000
Latecny 0.01 = 2.026796
Latecny 0.02 = 2.053625
Latecny 0.03 = 2.080454
Latecny 0.04 = 2.107282
Latecny 0.05 = 2.134111
Latecny 0.06 = 2.160940
Latecny 0.07 = 2.187769
Latecny 0.08 = 2.214598
Latecny 0.09 = 2.241426
Latecny 0.10 = 2.268255
Latecny 0.11 = 2.295084
Latecny 0.12 = 2.321913
Latecny 0.13 = 2.348742
Latecny 0.14 = 2.375570
Latecny 0.15 = 2.402399
Latecny 0.16 = 2.429228
Latecny 0.17 = 2.456057
Latecny 0.18 = 2.482886
Latecny 0.19 = 2.509715
Latecny 0.20 = 2.536543
Latecny 0.21 = 2.563372
Latecny 0.22 = 2.590201
Latecny 0.23 = 2.617030
Latecny 0.24 = 2.643859
Latecny 0.25 = 2.670687
Latecny 0.26 = 2.697516
Latecny 0.27 = 2.724345
Latecny 0.28 = 2.751174
Latecny 0.29 = 2.778002
Latecny 0.30 = 2.804831
Latecny 0.31 = 2.831660
Latecny 0.32 = 2.858489
Latecny 0.33 = 2.885318
Latecny 0.34 = 2.912146
Latecny 0.35 = 2.938975
Latecny 0.36 = 2.965804
Latecny 0.37 = 2.992633
Latecny 0.38 = 3.000293
Latecny 0.39 = 3.000696
Latecny 0.40 = 3.001099
Latecny 0.41 = 3.001503
Latecny 0.42 = 3.001906
Latecny 0.43 = 3.002309
Latecny 0.44 = 3.002713
Latecny 0.45 = 3.003116
Latecny 0.46 = 3.003519
Latecny 0.47 = 3.003923
Latecny 0.48 = 3.004326
Latecny 0.49 = 3.004729
Latecny 0.50 = 3.005133
Latecny 0.51 = 3.005536
Latecny 0.52 = 3.005939
Latecny 0.53 = 3.006343
Latecny 0.54 = 3.006746
Latecny 0.55 = 3.007149
Latecny 0.56 = 3.007553
Latecny 0.57 = 3.007956
Latecny 0.58 = 3.008360
Latecny 0.59 = 3.008763
Latecny 0.60 = 3.009166
Latecny 0.61 = 3.009570
Latecny 0.62 = 3.009973
Latecny 0.63 = 3.010376
Latecny 0.64 = 3.010780
Latecny 0.65 = 3.011183
Latecny 0.66 = 3.011586
Latecny 0.67 = 3.011990
Latecny 0.68 = 3.012393
Latecny 0.69 = 3.012796
Latecny 0.70 = 3.013200
Latecny 0.71 = 3.013603
Latecny 0.72 = 3.014006
Latecny 0.73 = 3.014410
Latecny 0.74 = 3.014813
Latecny 0.75 = 3.015216
Latecny 0.76 = 3.015620
