Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Keys:       16 bytes each (+ 0 bytes user-defined timestamp)
Values:     100 bytes each (50 bytes after compression)
Entries:    300000000
Prefix:    0 bytes
Keys per prefix:    0
RawSize:    33187.9 MB (estimated)
FileSize:   18882.8 MB (estimated)
Write rate: 0 bytes/second
Read rate: 0 ops/second
Compression: Snappy
Compression sampling rate: 0
Memtablerep: skip_list
Perf Level: 1
WARNING: Assertions are enabled; benchmarks unnecessarily slow
------------------------------------------------
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
DB path: [../sk_mnt/]
fillrandom   :       5.402 micros/op 185128 ops/sec;   20.5 MB/s
Latecny 0.00 = 2.000000
Latecny 0.01 = 2.041642
Latecny 0.02 = 2.083289
Latecny 0.03 = 2.124936
Latecny 0.04 = 2.166582
Latecny 0.05 = 2.208229
Latecny 0.06 = 2.249875
Latecny 0.07 = 2.291522
Latecny 0.08 = 2.333169
Latecny 0.09 = 2.374815
Latecny 0.10 = 2.416462
Latecny 0.11 = 2.458108
Latecny 0.12 = 2.499755
Latecny 0.13 = 2.541402
Latecny 0.14 = 2.583048
Latecny 0.15 = 2.624695
Latecny 0.16 = 2.666341
Latecny 0.17 = 2.707988
Latecny 0.18 = 2.749635
Latecny 0.19 = 2.791281
Latecny 0.20 = 2.832928
Latecny 0.21 = 2.874574
Latecny 0.22 = 2.916221
Latecny 0.23 = 2.957868
Latecny 0.24 = 2.999514
Latecny 0.25 = 3.000446
Latecny 0.26 = 3.000898
Latecny 0.27 = 3.001350
Latecny 0.28 = 3.001801
Latecny 0.29 = 3.002253
Latecny 0.30 = 3.002705
Latecny 0.31 = 3.003156
Latecny 0.32 = 3.003608
Latecny 0.33 = 3.004060
Latecny 0.34 = 3.004511
Latecny 0.35 = 3.004963
Latecny 0.36 = 3.005415
Latecny 0.37 = 3.005866
Latecny 0.38 = 3.006318
Latecny 0.39 = 3.006770
Latecny 0.40 = 3.007221
Latecny 0.41 = 3.007673
Latecny 0.42 = 3.008125
Latecny 0.43 = 3.008576
Latecny 0.44 = 3.009028
Latecny 0.45 = 3.009480
Latecny 0.46 = 3.009931
Latecny 0.47 = 3.010383
Latecny 0.48 = 3.010835
Latecny 0.49 = 3.011286
Latecny 0.50 = 3.011738
Latecny 0.51 = 3.012189
