Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Keys:       16 bytes each (+ 0 bytes user-defined timestamp)
Values:     100 bytes each (50 bytes after compression)
Entries:    100000000
Prefix:    0 bytes
Keys per prefix:    0
RawSize:    11062.6 MB (estimated)
FileSize:   6294.3 MB (estimated)
Write rate: 0 bytes/second
Read rate: 0 ops/second
Compression: Snappy
Compression sampling rate: 0
Memtablerep: skip_list
Perf Level: 1
WARNING: Assertions are enabled; benchmarks unnecessarily slow
------------------------------------------------
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
DB path: [../sk_mnt/]
fillrandom   :       5.034 micros/op 198667 ops/sec;   22.0 MB/s
Latecny 0.00 = 2.000000
Latecny 0.01 = 2.021526
Latecny 0.02 = 2.043098
Latecny 0.03 = 2.064669
Latecny 0.04 = 2.086241
Latecny 0.05 = 2.107812
Latecny 0.06 = 2.129384
Latecny 0.07 = 2.150955
Latecny 0.08 = 2.172527
Latecny 0.09 = 2.194098
Latecny 0.10 = 2.215670
Latecny 0.11 = 2.237241
Latecny 0.12 = 2.258812
Latecny 0.13 = 2.280384
Latecny 0.14 = 2.301955
Latecny 0.15 = 2.323527
Latecny 0.16 = 2.345098
Latecny 0.17 = 2.366670
Latecny 0.18 = 2.388241
Latecny 0.19 = 2.409813
Latecny 0.20 = 2.431384
Latecny 0.21 = 2.452956
Latecny 0.22 = 2.474527
Latecny 0.23 = 2.496099
Latecny 0.24 = 2.517670
Latecny 0.25 = 2.539242
Latecny 0.26 = 2.560813
Latecny 0.27 = 2.582385
Latecny 0.28 = 2.603956
Latecny 0.29 = 2.625528
Latecny 0.30 = 2.647099
Latecny 0.31 = 2.668671
Latecny 0.32 = 2.690242
Latecny 0.33 = 2.711814
Latecny 0.34 = 2.733385
Latecny 0.35 = 2.754957
Latecny 0.36 = 2.776528
Latecny 0.37 = 2.798099
Latecny 0.38 = 2.819671
Latecny 0.39 = 2.841242
Latecny 0.40 = 2.862814
Latecny 0.41 = 2.884385
Latecny 0.42 = 2.905957
Latecny 0.43 = 2.927528
Latecny 0.44 = 2.949100
Latecny 0.45 = 2.970671
Latecny 0.46 = 2.992243
Latecny 0.47 = 3.000230
Latecny 0.48 = 3.000589
Latecny 0.49 = 3.000949
Latecny 0.50 = 3.001308
Latecny 0.51 = 3.001667
Latecny 0.52 = 3.002026
Latecny 0.53 = 3.002386
Latecny 0.54 = 3.002745
Latecny 0.55 = 3.003104
Latecny 0.56 = 3.003463
Latecny 0.57 = 3.003823
Latecny 0.58 = 3.004182
Latecny 0.59 = 3.004541
Latecny 0.60 = 3.004900
Latecny 0.61 = 3.005260
Latecny 0.62 = 3.005619
Latecny 0.63 = 3.005978
Latecny 0.64 = 3.006338
Latecny 0.65 = 3.006697
Latecny 0.66 = 3.007056
Latecny 0.67 = 3.007415
Latecny 0.68 = 3.007775
Latecny 0.69 = 3.008134
Latecny 0.70 = 3.008493
Latecny 0.71 = 3.008852
Latecny 0.72 = 3.009212
Latecny 0.73 = 3.009571
Latecny 0.74 = 3.009930
Latecny 0.75 = 3.010289
Latecny 0.76 = 3.010649
Latecny 0.77 = 3.011008
Latecny 0.78 = 3.011367
Latecny 0.79 = 3.011726
Latecny 0.80 = 3.012086
Latecny 0.81 = 3.012445
Latecny 0.82 = 3.012804
Latecny 0.83 = 3.013164
Latecny 0.84 = 3.013523
Latecny 0.85 = 3.013882
Latecny 0.86 = 3.014241
Latecny 0.87 = 3.014601
Latecny 0.88 = 3.014960
Latecny 0.89 = 3.015319
Latecny 0.90 = 3.015678
Latecny 0.91 = 3.016038
Latecny 0.92 = 3.016397
Latecny 0.93 = 3.016756
Latecny 0.94 = 3.017115
Latecny 0.95 = 3.017475
Latecny 0.96 = 3.017834
Latecny 0.97 = 3.018193
Latecny 0.98 = 3.018552
Latecny 0.99 = 3.018912
Latecny 1.00 = 3.019271
Latecny 1.01 = 3.019630
Latecny 1.02 = 3.019990
Latecny 1.03 = 3.020349
Latecny 1.04 = 3.020708
Latecny 1.05 = 3.021067
Latecny 1.06 = 3.021427
Latecny 1.07 = 3.021786
Latecny 1.08 = 3.022145
Latecny 1.09 = 3.022504
Latecny 1.10 = 3.022864
Latecny 1.11 = 3.023223
Latecny 1.12 = 3.023582
Latecny 1.13 = 3.023941
Latecny 1.14 = 3.024301
Latecny 1.15 = 3.024660
Latecny 1.16 = 3.025019
Latecny 1.17 = 3.025378
Latecny 1.18 = 3.025738
Latecny 1.19 = 3.026097
Latecny 1.20 = 3.026456
Latecny 1.21 = 3.026816
Latecny 1.22 = 3.027175
Latecny 1.23 = 3.027534
Latecny 1.24 = 3.027893
Latecny 1.25 = 3.028253
Latecny 1.26 = 3.028612
Latecny 1.27 = 3.028971
Latecny 1.28 = 3.029330
Latecny 1.29 = 3.029690
Latecny 1.30 = 3.030049
Latecny 1.31 = 3.030408
Latecny 1.32 = 3.030767
Latecny 1.33 = 3.031127
Latecny 1.34 = 3.031486
Latecny 1.35 = 3.031845
Latecny 1.36 = 3.032204
Latecny 1.37 = 3.032564
Latecny 1.38 = 3.032923
Latecny 1.39 = 3.033282
Latecny 1.40 = 3.033642
Latecny 1.41 = 3.034001
Latecny 1.42 = 3.034360
Latecny 1.43 = 3.034719
Latecny 1.44 = 3.035079
Latecny 1.45 = 3.035438
Latecny 1.46 = 3.035797
Latecny 1.47 = 3.036156
Latecny 1.48 = 3.036516
Latecny 1.49 = 3.036875
Latecny 1.50 = 3.037234
Latecny 1.51 = 3.037593
Latecny 1.52 = 3.037953
Latecny 1.53 = 3.038312
Latecny 1.54 = 3.038671
Latecny 1.55 = 3.039030
Latecny 1.56 = 3.039390
Latecny 1.57 = 3.039749
Latecny 1.58 = 3.040108
Latecny 1.59 = 3.040468
Latecny 1.60 = 3.040827
Latecny 1.61 = 3.041186
Latecny 1.62 = 3.041545
Latecny 1.63 = 3.041905
Latecny 1.64 = 3.042264
Latecny 1.65 = 3.042623
Latecny 1.66 = 3.042982
Latecny 1.67 = 3.043342
Latecny 1.68 = 3.043701
Latecny 1.69 = 3.044060
Latecny 1.70 = 3.044419
Latecny 1.71 = 3.044779
Latecny 1.72 = 3.045138
Latecny 1.73 = 3.045497
Latecny 1.74 = 3.045856
Latecny 1.75 = 3.046216
Latecny 1.76 = 3.046575
Latecny 1.77 = 3.046934
Latecny 1.78 = 3.047294
Latecny 1.79 = 3.047653
Latecny 1.80 = 3.048012
Latecny 1.81 = 3.048371
Latecny 1.82 = 3.048731
Latecny 1.83 = 3.049090
Latecny 1.84 = 3.049449
Latecny 1.85 = 3.049808
Latecny 1.86 = 3.050168
Latecny 1.87 = 3.050527
Latecny 1.88 = 3.050886
Latecny 1.89 = 3.051245
Latecny 1.90 = 3.051605
Latecny 1.91 = 3.051964
Latecny 1.92 = 3.052323
Latecny 1.93 = 3.052682
Latecny 1.94 = 3.053042
Latecny 1.95 = 3.053401
Latecny 1.96 = 3.053760
Latecny 1.97 = 3.054120
Latecny 1.98 = 3.054479
Latecny 1.99 = 3.054838
Latecny 2.00 = 3.055197
Latecny 2.01 = 3.055557
Latecny 2.02 = 3.055916
Latecny 2.03 = 3.056275
Latecny 2.04 = 3.056634
Latecny 2.05 = 3.056994
Latecny 2.06 = 3.057353
Latecny 2.07 = 3.057712
Latecny 2.08 = 3.058071
Latecny 2.09 = 3.058431
Latecny 2.10 = 3.058790
Latecny 2.11 = 3.059149
Latecny 2.12 = 3.059508
Latecny 2.13 = 3.059868
Latecny 2.14 = 3.060227
Latecny 2.15 = 3.060586
Latecny 2.16 = 3.060946
Latecny 2.17 = 3.061305
Latecny 2.18 = 3.061664
Latecny 2.19 = 3.062023
Latecny 2.20 = 3.062383
Latecny 2.21 = 3.062742
Latecny 2.22 = 3.063101
Latecny 2.23 = 3.063460
Latecny 2.24 = 3.063820
Latecny 2.25 = 3.064179
Latecny 2.26 = 3.064538
Latecny 2.27 = 3.064897
Latecny 2.28 = 3.065257
Latecny 2.29 = 3.065616
Latecny 2.30 = 3.065975
Latecny 2.31 = 3.066334
Latecny 2.32 = 3.066694
Latecny 2.33 = 3.067053
Latecny 2.34 = 3.067412
Latecny 2.35 = 3.067771
Latecny 2.36 = 3.068131
Latecny 2.37 = 3.068490
Latecny 2.38 = 3.068849
Latecny 2.39 = 3.069209
Latecny 2.40 = 3.069568
Latecny 2.41 = 3.069927
Latecny 2.42 = 3.070286
Latecny 2.43 = 3.070646
Latecny 2.44 = 3.071005
Latecny 2.45 = 3.071364
Latecny 2.46 = 3.071723
Latecny 2.47 = 3.072083
Latecny 2.48 = 3.072442
Latecny 2.49 = 3.072801
Latecny 2.50 = 3.073160
Latecny 2.51 = 3.073520
Latecny 2.52 = 3.073879
Latecny 2.53 = 3.074238
Latecny 2.54 = 3.074597
Latecny 2.55 = 3.074957
Latecny 2.56 = 3.075316
Latecny 2.57 = 3.075675
Latecny 2.58 = 3.076035
Latecny 2.59 = 3.076394
Latecny 2.60 = 3.076753
Latecny 2.61 = 3.077112
Latecny 2.62 = 3.077472
Latecny 2.63 = 3.077831
Latecny 2.64 = 3.078190
Latecny 2.65 = 3.078549
Latecny 2.66 = 3.078909
Latecny 2.67 = 3.079268
Latecny 2.68 = 3.079627
Latecny 2.69 = 3.079986
Latecny 2.70 = 3.080346
Latecny 2.71 = 3.080705
Latecny 2.72 = 3.081064
Latecny 2.73 = 3.081423
Latecny 2.74 = 3.081783
Latecny 2.75 = 3.082142
Latecny 2.76 = 3.082501
Latecny 2.77 = 3.082861
Latecny 2.78 = 3.083220
Latecny 2.79 = 3.083579
Latecny 2.80 = 3.083938
Latecny 2.81 = 3.084298
Latecny 2.82 = 3.084657
Latecny 2.83 = 3.085016
Latecny 2.84 = 3.085375
Latecny 2.85 = 3.085735
Latecny 2.86 = 3.086094
Latecny 2.87 = 3.086453
Latecny 2.88 = 3.086812
Latecny 2.89 = 3.087172
Latecny 2.90 = 3.087531
Latecny 2.91 = 3.087890
Latecny 2.92 = 3.088249
Latecny 2.93 = 3.088609
Latecny 2.94 = 3.088968
Latecny 2.95 = 3.089327
Latecny 2.96 = 3.089687
Latecny 2.97 = 3.090046
Latecny 2.98 = 3.090405
Latecny 2.99 = 3.090764
Latecny 3.00 = 3.091124
Latecny 3.01 = 3.091483
Latecny 3.02 = 3.091842
Latecny 3.03 = 3.092201
Latecny 3.04 = 3.092561
Latecny 3.05 = 3.092920
Latecny 3.06 = 3.093279
Latecny 3.07 = 3.093638
Latecny 3.08 = 3.093998
Latecny 3.09 = 3.094357
Latecny 3.10 = 3.094716
Latecny 3.11 = 3.095075
Latecny 3.12 = 3.095435
Latecny 3.13 = 3.095794
Latecny 3.14 = 3.096153
Latecny 3.15 = 3.096513
Latecny 3.16 = 3.096872
Latecny 3.17 = 3.097231
Latecny 3.18 = 3.097590
Latecny 3.19 = 3.097950
Latecny 3.20 = 3.098309
Latecny 3.21 = 3.098668
Latecny 3.22 = 3.099027
Latecny 3.23 = 3.099387
Latecny 3.24 = 3.099746
Latecny 3.25 = 3.100105
Latecny 3.26 = 3.100464
Latecny 3.27 = 3.100824
Latecny 3.28 = 3.101183
Latecny 3.29 = 3.101542
Latecny 3.30 = 3.101901
Latecny 3.31 = 3.102261
Latecny 3.32 = 3.102620
Latecny 3.33 = 3.102979
Latecny 3.34 = 3.103339
Latecny 3.35 = 3.103698
Latecny 3.36 = 3.104057
Latecny 3.37 = 3.104416
Latecny 3.38 = 3.104776
Latecny 3.39 = 3.105135
Latecny 3.40 = 3.105494
Latecny 3.41 = 3.105853
Latecny 3.42 = 3.106213
Latecny 3.43 = 3.106572
Latecny 3.44 = 3.106931
Latecny 3.45 = 3.107290
Latecny 3.46 = 3.107650
Latecny 3.47 = 3.108009
Latecny 3.48 = 3.108368
Latecny 3.49 = 3.108727
Latecny 3.50 = 3.109087
Latecny 3.51 = 3.109446
Latecny 3.52 = 3.109805
Latecny 3.53 = 3.110165
Latecny 3.54 = 3.110524
Latecny 3.55 = 3.110883
Latecny 3.56 = 3.111242
Latecny 3.57 = 3.111602
Latecny 3.58 = 3.111961
Latecny 3.59 = 3.112320
Latecny 3.60 = 3.112679
Latecny 3.61 = 3.113039
Latecny 3.62 = 3.113398
Latecny 3.63 = 3.113757
Latecny 3.64 = 3.114116
Latecny 3.65 = 3.114476
Latecny 3.66 = 3.114835
Latecny 3.67 = 3.115194
Latecny 3.68 = 3.115553
Latecny 3.69 = 3.115913
Latecny 3.70 = 3.116272
Latecny 3.71 = 3.116631
Latecny 3.72 = 3.116991
Latecny 3.73 = 3.117350
Latecny 3.74 = 3.117709
Latecny 3.75 = 3.118068
Latecny 3.76 = 3.118428
Latecny 3.77 = 3.118787
Latecny 3.78 = 3.119146
Latecny 3.79 = 3.119505
Latecny 3.80 = 3.119865
Latecny 3.81 = 3.120224
Latecny 3.82 = 3.120583
Latecny 3.83 = 3.120942
Latecny 3.84 = 3.121302
Latecny 3.85 = 3.121661
Latecny 3.86 = 3.122020
Latecny 3.87 = 3.122379
Latecny 3.88 = 3.122739
Latecny 3.89 = 3.123098
Latecny 3.90 = 3.123457
Latecny 3.91 = 3.123817
Latecny 3.92 = 3.124176
Latecny 3.93 = 3.124535
Latecny 3.94 = 3.124894
Latecny 3.95 = 3.125254
Latecny 3.96 = 3.125613
Latecny 3.97 = 3.125972
Latecny 3.98 = 3.126331
Latecny 3.99 = 3.126691
Latecny 4.00 = 3.127050
Latecny 4.01 = 3.127409
Latecny 4.02 = 3.127768
Latecny 4.03 = 3.128128
Latecny 4.04 = 3.128487
Latecny 4.05 = 3.128846
Latecny 4.06 = 3.129206
Latecny 4.07 = 3.129565
Latecny 4.08 = 3.129924
Latecny 4.09 = 3.130283
Latecny 4.10 = 3.130643
Latecny 4.11 = 3.131002
Latecny 4.12 = 3.131361
Latecny 4.13 = 3.131720
Latecny 4.14 = 3.132080
Latecny 4.15 = 3.132439
Latecny 4.16 = 3.132798
Latecny 4.17 = 3.133157
Latecny 4.18 = 3.133517
Latecny 4.19 = 3.133876
Latecny 4.20 = 3.134235
Latecny 4.21 = 3.134595
Latecny 4.22 = 3.134954
Latecny 4.23 = 3.135313
Latecny 4.24 = 3.135672
Latecny 4.25 = 3.136032
Latecny 4.26 = 3.136391
Latecny 4.27 = 3.136750
Latecny 4.28 = 3.137109
Latecny 4.29 = 3.137469
Latecny 4.30 = 3.137828
Latecny 4.31 = 3.138187
Latecny 4.32 = 3.138547
Latecny 4.33 = 3.138906
Latecny 4.34 = 3.139265
Latecny 4.35 = 3.139624
Latecny 4.36 = 3.139984
Latecny 4.37 = 3.140343
Latecny 4.38 = 3.140702
Latecny 4.39 = 3.141061
Latecny 4.40 = 3.141421
Latecny 4.41 = 3.141780
Latecny 4.42 = 3.142139
Latecny 4.43 = 3.142499
Latecny 4.44 = 3.142858
Latecny 4.45 = 3.143217
Latecny 4.46 = 3.143576
Latecny 4.47 = 3.143936
Latecny 4.48 = 3.144295
Latecny 4.49 = 3.144654
Latecny 4.50 = 3.145013
Latecny 4.51 = 3.145373
Latecny 4.52 = 3.145732
Latecny 4.53 = 3.146091
Latecny 4.54 = 3.146451
Latecny 4.55 = 3.146810
Latecny 4.56 = 3.147169
Latecny 4.57 = 3.147528
Latecny 4.58 = 3.147888
Latecny 4.59 = 3.148247
Latecny 4.60 = 3.148606
Latecny 4.61 = 3.148965
Latecny 4.62 = 3.149325
Latecny 4.63 = 3.149684
Latecny 4.64 = 3.150043
Latecny 4.65 = 3.150403
Latecny 4.66 = 3.150762
Latecny 4.67 = 3.151121
Latecny 4.68 = 3.151480
Latecny 4.69 = 3.151840
Latecny 4.70 = 3.152199
Latecny 4.71 = 3.152558
Latecny 4.72 = 3.152917
Latecny 4.73 = 3.153277
Latecny 4.74 = 3.153636
Latecny 4.75 = 3.153995
Latecny 4.76 = 3.154355
Latecny 4.77 = 3.154714
Latecny 4.78 = 3.155073
Latecny 4.79 = 3.155432
Latecny 4.80 = 3.155792
Latecny 4.81 = 3.156151
Latecny 4.82 = 3.156510
Latecny 4.83 = 3.156869
Latecny 4.84 = 3.157229
Latecny 4.85 = 3.157588
Latecny 4.86 = 3.157947
Latecny 4.87 = 3.158306
Latecny 4.88 = 3.158666
Latecny 4.89 = 3.159025
Latecny 4.90 = 3.159384
Latecny 4.91 = 3.159744
Latecny 4.92 = 3.160103
Latecny 4.93 = 3.160462
Latecny 4.94 = 3.160821
Latecny 4.95 = 3.161181
Latecny 4.96 = 3.161540
Latecny 4.97 = 3.161899
Latecny 4.98 = 3.162258
Latecny 4.99 = 3.162618
Latecny 5.00 = 3.162977
Latecny 5.01 = 3.163336
Latecny 5.02 = 3.163696
Latecny 5.03 = 3.164055
Latecny 5.04 = 3.164414
Latecny 5.05 = 3.164773
Latecny 5.06 = 3.165133
Latecny 5.07 = 3.165492
Latecny 5.08 = 3.165851
Latecny 5.09 = 3.166210
Latecny 5.10 = 3.166570
Latecny 5.11 = 3.166929
Latecny 5.12 = 3.167288
Latecny 5.13 = 3.167648
Latecny 5.14 = 3.168007
Latecny 5.15 = 3.168366
Latecny 5.16 = 3.168725
Latecny 5.17 = 3.169085
Latecny 5.18 = 3.169444
Latecny 5.19 = 3.169803
Latecny 5.20 = 3.170162
Latecny 5.21 = 3.170522
Latecny 5.22 = 3.170881
Latecny 5.23 = 3.171240
Latecny 5.24 = 3.171600
Latecny 5.25 = 3.171959
Latecny 5.26 = 3.172318
Latecny 5.27 = 3.172677
Latecny 5.28 = 3.173037
Latecny 5.29 = 3.173396
Latecny 5.30 = 3.173755
Latecny 5.31 = 3.174114
Latecny 5.32 = 3.174474
Latecny 5.33 = 3.174833
Latecny 5.34 = 3.175192
Latecny 5.35 = 3.175552
Latecny 5.36 = 3.175911
Latecny 5.37 = 3.176270
Latecny 5.38 = 3.176629
Latecny 5.39 = 3.176989
Latecny 5.40 = 3.177348
Latecny 5.41 = 3.177707
Latecny 5.42 = 3.178066
Latecny 5.43 = 3.178426
Latecny 5.44 = 3.178785
Latecny 5.45 = 3.179144
Latecny 5.46 = 3.179504
Latecny 5.47 = 3.179863
Latecny 5.48 = 3.180222
Latecny 5.49 = 3.180581
Latecny 5.50 = 3.180941
Latecny 5.51 = 3.181300
Latecny 5.52 = 3.181659
Latecny 5.53 = 3.182018
Latecny 5.54 = 3.182378
Latecny 5.55 = 3.182737
Latecny 5.56 = 3.183096
Latecny 5.57 = 3.183455
Latecny 5.58 = 3.183815
Latecny 5.59 = 3.184174
Latecny 5.60 = 3.184533
Latecny 5.61 = 3.184893
Latecny 5.62 = 3.185252
Latecny 5.63 = 3.185611
Latecny 5.64 = 3.185970
Latecny 5.65 = 3.186330
Latecny 5.66 = 3.186689
Latecny 5.67 = 3.187048
Latecny 5.68 = 3.187407
Latecny 5.69 = 3.187767
Latecny 5.70 = 3.188126
Latecny 5.71 = 3.188485
Latecny 5.72 = 3.188845
Latecny 5.73 = 3.189204
Latecny 5.74 = 3.189563
Latecny 5.75 = 3.189922
Latecny 5.76 = 3.190282
Latecny 5.77 = 3.190641
Latecny 5.78 = 3.191000
Latecny 5.79 = 3.191359
Latecny 5.80 = 3.191719
Latecny 5.81 = 3.192078
Latecny 5.82 = 3.192437
Latecny 5.83 = 3.192797
Latecny 5.84 = 3.193156
Latecny 5.85 = 3.193515
Latecny 5.86 = 3.193874
Latecny 5.87 = 3.194234
Latecny 5.88 = 3.194593
Latecny 5.89 = 3.194952
Latecny 5.90 = 3.195311
Latecny 5.91 = 3.195671
Latecny 5.92 = 3.196030
Latecny 5.93 = 3.196389
Latecny 5.94 = 3.196749
Latecny 5.95 = 3.197108
Latecny 5.96 = 3.197467
Latecny 5.97 = 3.197826
Latecny 5.98 = 3.198186
Latecny 5.99 = 3.198545
Latecny 6.00 = 3.198904
Latecny 6.01 = 3.199263
Latecny 6.02 = 3.199623
Latecny 6.03 = 3.199982
Latecny 6.04 = 3.200341
Latecny 6.05 = 3.200701
Latecny 6.06 = 3.201060
Latecny 6.07 = 3.201419
Latecny 6.08 = 3.201778
Latecny 6.09 = 3.202138
Latecny 6.10 = 3.202497
Latecny 6.11 = 3.202856
Latecny 6.12 = 3.203215
Latecny 6.13 = 3.203575
Latecny 6.14 = 3.203934
Latecny 6.15 = 3.204293
Latecny 6.16 = 3.204653
Latecny 6.17 = 3.205012
Latecny 6.18 = 3.205371
Latecny 6.19 = 3.205730
Latecny 6.20 = 3.206090
Latecny 6.21 = 3.206449
Latecny 6.22 = 3.206808
Latecny 6.23 = 3.207167
Latecny 6.24 = 3.207527
Latecny 6.25 = 3.207886
Latecny 6.26 = 3.208245
Latecny 6.27 = 3.208604
Latecny 6.28 = 3.208964
Latecny 6.29 = 3.209323
Latecny 6.30 = 3.209682
Latecny 6.31 = 3.210042
Latecny 6.32 = 3.210401
Latecny 6.33 = 3.210760
Latecny 6.34 = 3.211119
Latecny 6.35 = 3.211479
Latecny 6.36 = 3.211838
Latecny 6.37 = 3.212197
Latecny 6.38 = 3.212556
Latecny 6.39 = 3.212916
Latecny 6.40 = 3.213275
Latecny 6.41 = 3.213634
Latecny 6.42 = 3.213994
Latecny 6.43 = 3.214353
Latecny 6.44 = 3.214712
Latecny 6.45 = 3.215071
Latecny 6.46 = 3.215431
Latecny 6.47 = 3.215790
Latecny 6.48 = 3.216149
Latecny 6.49 = 3.216508
Latecny 6.50 = 3.216868
Latecny 6.51 = 3.217227
Latecny 6.52 = 3.217586
Latecny 6.53 = 3.217946
Latecny 6.54 = 3.218305
Latecny 6.55 = 3.218664
Latecny 6.56 = 3.219023
Latecny 6.57 = 3.219383
Latecny 6.58 = 3.219742
Latecny 6.59 = 3.220101
Latecny 6.60 = 3.220460
Latecny 6.61 = 3.220820
Latecny 6.62 = 3.221179
Latecny 6.63 = 3.221538
Latecny 6.64 = 3.221898
Latecny 6.65 = 3.222257
Latecny 6.66 = 3.222616
Latecny 6.67 = 3.222975
Latecny 6.68 = 3.223335
Latecny 6.69 = 3.223694
Latecny 6.70 = 3.224053
Latecny 6.71 = 3.224412
Latecny 6.72 = 3.224772
Latecny 6.73 = 3.225131
Latecny 6.74 = 3.225490
Latecny 6.75 = 3.225850
Latecny 6.76 = 3.226209
Latecny 6.77 = 3.226568
Latecny 6.78 = 3.226927
Latecny 6.79 = 3.227287
Latecny 6.80 = 3.227646
Latecny 6.81 = 3.228005
Latecny 6.82 = 3.228364
Latecny 6.83 = 3.228724
Latecny 6.84 = 3.229083
Latecny 6.85 = 3.229442
Latecny 6.86 = 3.229802
Latecny 6.87 = 3.230161
Latecny 6.88 = 3.230520
Latecny 6.89 = 3.230879
Latecny 6.90 = 3.231239
Latecny 6.91 = 3.231598
Latecny 6.92 = 3.231957
Latecny 6.93 = 3.232316
Latecny 6.94 = 3.232676
Latecny 6.95 = 3.233035
Latecny 6.96 = 3.233394
Latecny 6.97 = 3.233753
Latecny 6.98 = 3.234113
Latecny 6.99 = 3.234472
Latecny 7.00 = 3.234831
Latecny 7.01 = 3.235191
Latecny 7.02 = 3.235550
Latecny 7.03 = 3.235909
Latecny 7.04 = 3.236268
Latecny 7.05 = 3.236628
Latecny 7.06 = 3.236987
Latecny 7.07 = 3.237346
Latecny 7.08 = 3.237705
Latecny 7.09 = 3.238065
Latecny 7.10 = 3.238424
Latecny 7.11 = 3.238783
Latecny 7.12 = 3.239143
Latecny 7.13 = 3.239502
Latecny 7.14 = 3.239861
Latecny 7.15 = 3.240220
Latecny 7.16 = 3.240580
Latecny 7.17 = 3.240939
Latecny 7.18 = 3.241298
Latecny 7.19 = 3.241657
Latecny 7.20 = 3.242017
Latecny 7.21 = 3.242376
Latecny 7.22 = 3.242735
Latecny 7.23 = 3.243095
Latecny 7.24 = 3.243454
Latecny 7.25 = 3.243813
Latecny 7.26 = 3.244172
Latecny 7.27 = 3.244532
Latecny 7.28 = 3.244891
Latecny 7.29 = 3.245250
